#File	PNG-Size	WebP-Size	WebP-DSSIM	JPEG-Size	JPEG-DSSIM	JPEG-Quality
icons/g_u6VOyz7qSIF6G4lGWg5NwPTZv8Xdx3sjA7jUwZBTfBGahISukuP8wsKWf1EQfnw7k.png	25957	3970	0.1895	5890	0.1985	82
icons/afWJShWeUW2wL8VJlGpJNrGRWrU8JroHMKyohQ5wpAZA0QeTfMYo_e0JydUzmHicIJ8.png	18725	4446	0.0889	8240	0.0911	90
icons/D7xDLR39Oxz9UJ8-iS5sf-l368InBUOQDnghVaucZPg34OgNUc38qv864qBC5kMkP8A.png	26162	3240	0.0714	4892	0.0739	85
icons/dJqVBKMKR5Ww09_c4FlPiGHhDpI17oGVbicNNkFXiiM4IhBqfXYByDH1UrwU4svdKqMN.png	27650	2528	0.1176	5004	0.1123	85
icons/OlQ6c4p_EdWYkNMV3HuQ1Yl5Cdkr9h87M-_la1U10Ift3mrLU2_OPqhaovxxnCqaAw.png	19383	2124	0.0276	5043	0.0195	90
icons/zFiPD4t1jEOS40E_LsOQ33gTrPbaufso48dOgK8M1ybMXeWib_xGguOoG4g-ntZJpg.png	25457	2552	0.0907	5026	0.0962	85
icons/CCfsoPatshIeNBRFBU5xkMDfguuhNUaetEV4e4Ckk3P0J57_geas5k35vD92LpmZSlc.png	11905	2074	0.0307	4228	0.0296	90
icons/c21iUPOhji070HyKB72Dm659BmKGcQMYVfGxqukmudWuEPjIdeXqo_zaTjW7ux4ExA.png	10015	3020	0.0418	4868	0.0453	90
icons/nVsPWJuaokogkzPJEOX0k5QcrPNgPqwddELUht2gw-b2zupzX9eTNv3OYm9UfmdYsmc.png	13699	4042	0.0533	6531	0.0564	90
icons/k4TKxWhHl4XHgztGnqpc3mqMe59vW5Ogt-a6CFDvanxu6O4LxwXADo37p4JHKGQ3NFs.png	10668	1494	0.0154	4538	1.5148	96
icons/QyQz4Dtp5Jj833cD_YjFkfc1mfZPuK2abkWvUBBWmXiu5UMOhTER-QywoB0T_LHWqw.png	11289	3154	0.0306	3203	0.0325	90
icons/g9nT4zWWj83yl7dEx4R6C4jU9oHYsbK6PF5ovnqq2I-dW3gt7yDGTc5fyqiG7ni55HQ.png	9673	1696	0.0195	4612	0.0221	90
icons/KFnmqYfGc7z1_-K6vVhSWqzvUTtXVyHSACcyITr7yx7JYqNubzwcjHyOEOlvvYvG1onX.png	15263	2618	0.0821	5973	0.0805	90
icons/-qqvEYLip6RL4p9IHKhF5xdxhXBlfClblx__CPb9sYNMn_8Izs6ys-w9JCsg0ekWBA.png	25217	5234	0.2002	6829	0.192	90
icons/DJcuIUe_VACu0wPTkxa1Y6djFOmclexCOGtW8DBMOwQqL_IZGaTFhc1LKCqylHStAw.png	7510	2338	0.0182	4805	0.0244	95
icons/3RQzq3h-SKV7UsaRlU1UZfmPFY-Y4Sx3iSWtF-8uSV0qrGS926ofRygFX5JRwiE1iA53.png	8102	2460	0.0174	5800	0.0261	97
icons/sqHp0Pkf98wgbxFR_ch3mUSxX9dArRB4RpH79vut1yQ3thzal7G_o4Ot7gML8l1Mcw.png	21130	2140	0.0637	5211	0.0594	90
icons/nH3iCb6FUk_NIJkdQGVHQDtf3nDhSiGOnuRM-MbQZqnwalMKkbEDdJPeOoDyi1D2HfI.png	5140	1274	0.0714	4022	0.0687	90
icons/u4AWg6ZyJcu5kRwEZzZwyVvTuf8PdHiUpQ6z3d1RedtdDKm0HSH50HYToerk5PrfNQ.png	18578	1954	0.0387	4838	0.0317	90
icons/uz3V5OJXdWGu7H5qMRmPhJswLlOzRjR2Lgrt2WOKRPjcL8ShRy030OHZ-l93rdcvCLY.png	4451	1448	0.129	1835	0.1356	92
icons/DTWO0dtXBOPCqg5-hoeksJi1iQSr4bx0PpyiLwcbrmQGtefnDfWP_-PTo_UTrcYdNg.png	35270	4062	0.1183	6733	0.1208	87
icons/-CrMjrMQOMBTbdwCav_PlwWgl8UU77dmGmJc1EQ4KdtUOvf8M6-jAGIceslznZVCpQg.png	23436	3192	0.165	6219	0.1641	89
icons/1wiMjiu_X4NacCCxuETm28cYdUS_t9oEziAXYC2UBJc8-odgAzb-F0PWTfnW1EUSnw.png	9498	1762	0.0244	4162	0.0298	90
icons/7nWPkPbptowGOI4Z84TC5d2JhKSGFHWldm-q-HZM59qd10Ad6dfcRlNZpMeQJto_JDA.png	7912	1952	0.0255	3603	0.0279	90
icons/cQm9uJgAAkL7KnCdtKM31s4K9KvggBzWBGV5bfK6_dySHndPq4nUDvKBqC-fQx2bahov.png	11653	2094	0.0807	4545	0.0837	85
icons/LkaatQK0SFPn9TAgBajiIjFWP4DUVPe0hTU5hLhnRjB-R1oq0XijFfzqFcsnj4CBjzM.png	8221	3816	0.0096	5383	0.016	95
icons/f1AryKo9ibWebMYH-D87MhxUNyqIP0e8No2pdlkHCL5hx48DLYwlHF7xXR2vQMcisOU.png	29509	2996	0.1049	5475	0.0981	85
icons/xIkSQjjFIAiC5KJTf9_jNrBc4-_IjfrujvBNCXakBPnynv1H9oacDMc3SlzYTENnlQ.png	14748	5108	0.1008	9501	0.0917	90
icons/W9P2m2dMvWMNXG0d7jcfIRMVIx-95umKKIkjtVRWdkbrpMgErBduWLJVi-sveW8Jhik.png	25252	2828	0.0495	5526	0.041	90
icons/l2VrL1CYwuaEg-IuOjtrzm8FW0Vhzh55OH7cPv_97Et-t9T4HcQOsFVqHIeqqdvIddc.png	26462	4024	0.1099	6756	0.1183	87
icons/u0qVhV5I8Ga84uwTZi5CZKn9VVyuVEO3n2GLnMgbsoJN1OKUi2T0BtOSGWZLSrWn-g.png	32788	3500	0.1716	5914	0.176	85
icons/c5-EQ1FmHSNeswnqLStRTEBbZgYiSwG3uTbBox3ZxYBLy4NB1EQxT9240JB4FzyqH5g.png	17982	910	0.0321	2381	0.0195	81
icons/yZvl7fgKCICtpKba4IJi-O8SHpXITpAhyflqLHLvOjTmQ2ev0tEeyPrpVXrYpu7q_rM.png	31032	5068	0.1592	6368	0.1627	87
icons/_xrEasJAKFCs8G2KpUBODMuWd_FCrAkjwpshhxG6ItQ0xUHxRu76xL9yRF6GuiS2dVNx.png	30640	2828	0.078	5107	0.0696	85
icons/FOUj19h6L8NBgifLiddpc1z1qrSZ2UQ757QHqlvkfDZkmgNJnA1BrJhR1m3d0R6-KQ.png	6819	2000	0.1193	5520	0.1185	92
